Agreement Type,Department,Agreem,ent ID,,,Tracking Number,Transaction Date,Not to Exceed Amount,Encumbered,Expended,Retained,Outstanding,Agreement Start Date,Agreement End Date,Closed Date,Buyer Name,Buyer Phone,Agreement Description,Agreement Held?,Closed?
Purchase Order,40,202030,2867,,,85,8/5/19,0,1740,0,0,1740,8/5/19,6/30/20,,Default Buyer,212-857-1475,,No,No
Contract,40,202030,2658,,,24,8/1/19,25000,17850,0,0,25000,8/1/19,6/30/20,,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,No
Purchase Order,40,201930,3316,,,28,8/1/19,0,150,150,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,5090,,,17,8/1/19,0,3000,3000,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,11062,,,7,8/1/19,0,3920,3920,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,11281,,,10,8/1/19,0,6075,6075,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,11381,,,6,8/1/19,0,7510,7510,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,19188,,,2,8/1/19,0,5200,5200,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,19421,,,27,8/1/19,0,5200,5200,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,21993,,,29,8/1/19,0,5200,5200,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,26841,,,27,8/1/19,0,6265,6265,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,27122,,,14,8/1/19,0,2600,2600,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,35756,,,23,8/1/19,0,7820,7820,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,47497,,,17,8/1/19,0,2900,2900,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,50622,,,18,8/1/19,0,5200,5200,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,59726,,,2,8/1/19,0,5200,5200,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,64106,,,21,8/1/19,0,2055,2055,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,65084,,,17,8/1/19,0,1765,1765,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,67077,,,29,8/1/19,0,0,0,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,70274,,,27,8/1/19,0,1500,1500,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,73669,,,1,8/1/19,0,0,0,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,74100,,,19,8/1/19,0,7800,7800,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,78763,,,21,8/1/19,0,3025,3025,0,0,8/1/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,78773,,,21,8/1/19,0,2900,2900,0,0,8/1/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,81580,,,13,8/1/19,0,7800,7800,0,0,8/1/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,90047,,,23,8/1/19,0,0,0,0,0,8/1/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,90060,,,23,8/1/19,0,0,0,0,0,8/1/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,90751,,,19,8/1/19,0,0,0,0,0,8/1/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,91485,,,28,8/1/19,0,3690,3690,0,0,8/1/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,92391,,,17,8/1/19,0,0,0,0,0,8/1/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,92515,,,2,8/1/19,0,7350,7350,0,0,8/1/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,93167,,,11,8/1/19,0,0,0,0,0,8/1/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,94966,,,11,8/1/19,0,0,0,0,0,8/1/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,97501,,,21,8/1/19,0,0,0,0,0,8/1/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,202030,1165,,,28,7/24/19,0,5670,0,0,5670,7/24/19,6/30/20,,Default Buyer,212-857-1475,,No,No
Purchase Order,40,202030,1843,,,31,7/24/19,0,3000,0,0,3000,7/24/19,6/30/20,,Default Buyer,212-857-1475,,No,No
Purchase Order,40,202030,1253,,,8,7/18/19,0,9000,0,0,9000,7/18/19,6/30/20,,Default Buyer,212-857-1475,,No,No
Purchase Order,40,202030,1290,,,11,7/18/19,0,2600,0,0,2600,7/18/19,6/30/20,,Default Buyer,212-857-1475,,No,No
Purchase Order,40,201930,41016,,,10,7/9/19,0,2950,2950,0,0,7/9/19,6/30/20,7/9/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,202030,535,,,11,7/8/19,0,3630,3630,0,0,7/8/19,6/30/20,8/5/19,Default Buyer,212-857-1475,,No,Yes
Contract,40,201930,10690,,,24,7/6/19,25000,17700,17550,0,7450,9/20/18,6/30/19,,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,No
Contract,40,201930,15160,WO190015160,,21,7/6/19,25000,13580,13580,0,11420,10/1/18,6/30/19,7/19/19,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,Yes
Contract,40,201930,19202,,,11,7/6/19,25000,18000,17550,0,7450,10/17/18,6/30/19,,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,No
Contract,40,201930,20724,WO190020724,,3,7/6/19,25000,14200,14200,0,10800,10/18/18,6/30/19,7/9/19,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,Yes
Contract,40,201930,24083,WO190024083,,9,7/6/19,25000,14220,14220,0,10780,10/26/18,6/30/19,7/17/19,Default Buyer,212-857-1475,3 BIDS-SERVICES-447398,No,Yes
Contract,40,201930,27053,,,26,7/6/19,25000,21330,21180,0,3820,11/2/18,6/30/19,,Default Buyer,212-857-1475,3 BIDS-SERVICES-10032018,No,No
Contract,40,201930,28147,WO190028147,,1,7/6/19,25000,18000,18000,0,7000,11/8/18,6/30/19,7/12/19,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,Yes
Contract,40,201930,29022,WO190029022,,9,7/6/19,25000,12180,12180,0,12820,11/14/18,6/30/19,7/18/19,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,Yes
Contract,40,201930,31273,,,22,7/6/19,25000,24135,21470,0,3530,11/26/18,6/30/19,,Default Buyer,212-857-1475,3 BIDS-SERVICES-24135.00,No,No
Contract,40,201930,36553,WO190036553,,14,7/6/19,25000,18000,18000,0,7000,12/14/18,6/30/19,7/9/19,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,Yes
Contract,40,201930,38471,WO190038471,,31,7/6/19,25000,18000,18000,0,7000,12/18/18,6/30/19,7/9/19,Default Buyer,212-857-1475,SOLE VENDOR-COMMODITIES,No,Yes
Contract,40,201930,40149,WO190040149,,20,7/6/19,25000,10890,10890,0,14110,12/20/18,6/30/19,7/9/19,Default Buyer,212-857-1475,3 BIDS-SERVICES,No,Yes
Contract,40,201930,40899,,,10,7/6/19,25000,24810,24660,0,340,1/2/19,6/30/19,,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,No
Contract,40,201930,41638,,,20,7/6/19,25000,11950,11800,0,13200,1/7/19,6/30/19,,Default Buyer,212-857-1475,3 BIDS-SERVICES,No,No
Contract,40,201930,42678,WO190042678,,10,7/6/19,25000,10890,10890,0,14110,1/10/19,6/30/19,7/22/19,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,Yes
Contract,40,201930,43088,,,20,7/6/19,25000,11460,9270,0,15730,1/11/19,6/30/19,,Default Buyer,212-857-1475,3 BIDS-SERVICES,No,No
Contract,40,201930,44816,WO190044816,,12,7/6/19,25000,12630,12630,0,12370,1/14/19,6/30/19,7/16/19,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,Yes
Contract,40,201930,45920,,,10,7/6/19,25000,10890,9125,0,15875,1/15/19,6/30/19,,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,No
Contract,40,201930,50104,WO190050104,,31,7/6/19,25000,24960,24960,0,40,1/29/19,6/30/19,7/15/19,Default Buyer,212-857-1475,3 BIDS-SERVICES,No,Yes
Contract,40,201930,50601,,,2,7/6/19,25000,16110,15960,0,9040,1/31/19,6/30/19,,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,No
Contract,40,201930,51164,,,24,7/6/19,25000,14160,14060,0,10940,2/7/19,6/30/19,,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,No
Contract,40,201930,52703,,,10,7/6/19,25000,21330,21130,0,3870,4/16/19,6/30/19,,Default Buyer,212-857-1475,CHANGE NOTICE,No,No
Contract,40,201930,54801,WO190054801,,29,7/6/19,25000,10890,10890,0,14110,2/26/19,6/30/19,7/23/19,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,Yes
Contract,40,201930,60221,,,20,7/6/19,25000,24008,23800,0,1200,3/13/19,6/30/19,,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,No
Contract,40,201930,61843,WO190061843,,21,7/6/19,25000,24909,24909,0,91,3/1/19,6/30/19,7/30/19,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,Yes
Contract,40,201930,64690,WO190064690,,30,7/6/19,25000,24600,24600,0,400,3/8/19,6/30/19,7/23/19,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,Yes
Contract,40,201930,64714,,,5,7/6/19,25000,24660,20310,0,4690,3/8/19,6/30/19,,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,No
Contract,40,201930,71416,WO190071416,,5,7/6/19,25000,12630,12630,0,12370,4/8/19,6/30/19,7/15/19,Default Buyer,212-857-1475,3 BIDS-SERVICES-ELE-M362,No,Yes
Contract,40,201930,73663,,,1,7/6/19,25000,11574.9,9525,0,15475,4/10/19,6/30/19,,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,No
Contract,40,201930,76082,WO190076082,,27,7/6/19,25000,24978,24978,0,22,3/29/19,6/30/19,7/18/19,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,Yes
Contract,40,201930,93163,,,21,7/6/19,25000,10890,10600,0,14400,5/1/19,6/30/19,,Default Buyer,212-857-1475,3 BIDS-SERVICES,No,No
Contract,40,201930,94530,,,5,7/6/19,25000,10590,9720,0,15280,4/19/19,6/30/19,,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,No
Contract,40,201930,95915,WO190095915,,31,7/6/19,25000,12000,12000,0,13000,4/22/19,6/30/19,7/9/19,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,Yes
Contract,40,201830,91435,,,19,7/2/19,25000,11125,11125,0,13875,6/30/19,6/30/19,7/2/19,Default Buyer,212-857-1475,FY19 OPEN ROLLED ENCUMBRANCE CANCELLATION,No,Yes
Purchase Order,40,201830,2647,,,4,7/2/19,0,1230,1230,0,0,6/30/19,6/30/19,7/2/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201830,8185,,,3,7/2/19,0,3025,3025,0,0,6/30/19,6/30/19,7/2/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201830,16625,,,6,7/2/19,0,5865,5865,0,0,6/30/19,6/30/19,7/2/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201830,21305,,,6,7/2/19,0,3790,3790,0,0,6/30/19,6/30/19,7/2/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201830,22480,,,27,7/2/19,0,5625,5625,0,0,6/30/19,6/30/19,7/2/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201830,30051,,,6,7/2/19,0,5625,5625,0,0,6/30/19,6/30/19,7/2/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201830,32506,,,6,7/2/19,0,8525,8525,0,0,6/30/19,6/30/19,7/2/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201830,39290,,,3,7/2/19,0,2390,2390,0,0,6/30/19,6/30/19,7/2/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201830,51107,,,23,7/2/19,0,5625,5625,0,0,6/30/19,6/30/19,7/2/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201830,51673,,,27,7/2/19,0,4250,4250,0,0,6/30/19,6/30/19,7/2/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201830,54346,,,13,7/2/19,0,0,0,0,0,6/30/19,6/30/19,7/2/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201830,54359,,,13,7/2/19,0,0,0,0,0,6/30/19,6/30/19,7/2/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,66366,,,26,7/2/19,0,0,0,0,0,6/30/19,6/30/19,7/2/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,58820,,,17,6/27/19,0,0,0,0,0,6/27/19,6/30/19,6/27/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,6578,,,12,6/26/19,0,4060,4060,0,0,6/26/19,6/30/19,6/26/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,47198,,,22,6/26/19,0,9825,9825,0,0,6/26/19,6/30/19,6/26/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,47920,,,24,6/20/19,0,9390,9390,0,0,6/20/19,6/30/19,6/20/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,11067,,,9,6/14/19,0,7110,7110,0,0,6/14/19,6/30/19,6/14/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201931,1379,,,32,6/14/19,0,6380,6380,0,0,6/14/19,6/30/19,7/15/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201830,17342,,,8,6/12/19,0,3000,3000,0,0,6/12/19,6/30/19,6/12/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,38597,,,15,6/12/19,0,7800,7800,0,0,6/12/19,6/30/19,6/12/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201931,980,,,31,5/22/19,0,5950,5950,0,0,5/22/19,6/30/19,6/25/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,89488,,,14,5/3/19,0,7950,7950,0,0,5/3/19,6/30/19,6/3/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,89830,,,19,5/3/19,0,7950,7950,0,0,5/3/19,6/30/19,7/2/19,Default Buyer,212-857-1475,,No,Yes
Contract,40,201930,82819,WO190082819,,32,4/30/19,25000,10720,10720,0,14280,4/30/19,6/30/19,6/7/19,Default Buyer,212-857-1475,3 BIDS-SERVICES-BLHS,No,Yes
Purchase Order,40,201930,94300,,,26,4/29/19,0,9000,9000,0,0,4/29/19,6/30/19,7/12/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,97621,,,11,4/22/19,0,4999.8,0,0,4999.8,4/22/19,6/30/19,,Default Buyer,212-857-1475,,No,No
Contract,40,201930,90981,WO190090981,,19,4/19/19,25000,14910,14910,0,10090,4/19/19,6/30/19,6/11/19,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,Yes
Purchase Order,40,201930,87685,,,16,4/19/19,0,5200.02,5200.02,0,0,4/19/19,6/30/19,5/3/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,92914,,,10,4/19/19,0,7950,7950,0,0,4/19/19,6/30/19,5/23/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,90995,,,19,4/18/19,0,3000,3000,0,0,4/18/19,6/30/19,6/27/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,92995,,,17,4/18/19,0,4790,4790,0,0,4/18/19,6/30/19,5/16/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,93861,,,11,4/18/19,0,0,0,0,0,4/18/19,6/30/19,4/18/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,93874,,,11,4/18/19,0,3770,3770,0,0,4/18/19,6/30/19,7/15/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,93882,,,11,4/18/19,0,4930,4930,0,0,4/18/19,6/30/19,5/22/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,94426,,,16,4/18/19,0,2600,2600,0,0,4/18/19,6/30/19,5/16/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,94437,,,16,4/18/19,0,2600,2600,0,0,4/18/19,6/30/19,5/16/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,94466,,,16,4/18/19,0,2800,2800,0,0,4/18/19,6/30/19,5/16/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,95037,,,11,4/18/19,0,4090,4090,0,0,4/18/19,6/30/19,6/25/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,95069,,,11,4/18/19,0,3190,3190,0,0,4/18/19,6/30/19,6/25/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,95084,,,11,4/18/19,0,3190,3190,0,0,4/18/19,6/30/19,6/25/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,95099,,,11,4/18/19,0,3190,3190,0,0,4/18/19,6/30/19,6/25/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,95120,,,11,4/18/19,0,3480,3480,0,0,4/18/19,6/30/19,6/25/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,96573,,,23,4/18/19,0,2800,2800,0,0,4/18/19,6/30/19,6/27/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,96615,,,23,4/18/19,0,750,750,0,0,4/18/19,6/30/19,6/12/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,97483,,,21,4/18/19,0,3000,3000,0,0,4/18/19,6/30/19,7/15/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,97510,,,21,4/18/19,0,3000,0,0,3000,4/18/19,6/30/19,,Default Buyer,212-857-1475,,No,No
Purchase Order,40,201930,78505,,,21,4/17/19,0,5220,5220,0,0,4/17/19,6/30/19,5/20/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,82462,,,17,4/17/19,0,5200,5200,0,0,4/17/19,6/30/19,4/29/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,89972,,,28,4/17/19,0,1625,1475,0,150,4/17/19,6/30/19,,Default Buyer,212-857-1475,,No,No
Purchase Order,40,201930,91240,,,32,4/17/19,0,4832,4832,0,0,4/17/19,6/30/19,6/21/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,92524,,,13,4/17/19,0,4998,4998,0,0,4/17/19,6/30/19,5/7/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,72177,,,13,4/16/19,0,8000,8000,0,0,4/16/19,6/30/19,5/9/19,Default Buyer,212-857-1475,,No,Yes
Contract,40,201930,85864,WO190085864,,26,4/15/19,25000,15486.8,15486.8,0,9513.2,4/15/19,6/30/19,5/29/19,Default Buyer,212-857-1475,3 BIDS-SERVICES-03272019,No,Yes
Purchase Order,40,201930,85153,,,29,4/15/19,0,5350,5350,0,0,4/15/19,6/30/19,6/10/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,85467,,,11,4/15/19,0,7950,7950,0,0,4/15/19,6/30/19,7/15/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,86078,,,29,4/15/19,0,7950,7950,0,0,4/15/19,6/30/19,5/21/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,85600,,,12,4/11/19,0,2750,2750,0,0,4/11/19,6/30/19,5/14/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,83971,,,6,4/10/19,0,4540,4540,0,0,4/10/19,6/30/19,6/11/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,84460,,,19,4/10/19,0,4980,4980,0,0,4/10/19,6/30/19,6/12/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,80039,,,26,4/8/19,0,150,150,0,0,4/8/19,6/30/19,5/23/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,82022,,,26,4/8/19,0,150,150,0,0,4/8/19,6/30/19,4/16/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,80651,,,21,4/5/19,0,2600,2600,0,0,4/5/19,6/30/19,5/9/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,80662,,,6,4/4/19,0,4725,4725,0,0,4/4/19,6/30/19,7/23/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201830,57389,,,21,4/3/19,0,3525,3525,0,0,4/3/19,6/30/19,4/3/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,73101,,,15,4/3/19,0,6000,0,0,6000,4/3/19,6/30/19,,Default Buyer,212-857-1475,,No,No
Purchase Order,40,201930,73772,,,14,4/3/19,0,8100,8100,0,0,4/3/19,6/30/19,7/10/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,77553,,,21,4/3/19,0,2600,2600,0,0,4/3/19,6/30/19,5/9/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,78924,,,12,4/3/19,0,5350,5350,0,0,4/3/19,6/30/19,4/26/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,79775,,,14,4/3/19,0,6725,5600,0,1125,4/3/19,6/30/19,,Default Buyer,212-857-1475,,No,No
Purchase Order,40,201930,77830,,,30,4/2/19,0,7950,7950,0,0,4/2/19,6/30/19,7/17/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,78729,,,17,4/2/19,0,2750,2750,0,0,4/2/19,6/30/19,5/2/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,75694,,,14,3/28/19,0,4980,4980,0,0,3/28/19,6/30/19,6/28/19,Default Buyer,212-857-1475,,No,Yes
Contract,40,201930,71527,WO190071527,,18,3/25/19,25000,12300,12300,0,12700,3/25/19,6/30/19,5/15/19,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,Yes
Purchase Order,40,201930,71540,,,21,3/21/19,0,2600,2600,0,0,3/21/19,6/30/19,5/8/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,72544,,,85,3/21/19,0,1500,1500,0,0,3/21/19,6/30/19,5/29/19,Default Buyer,212-857-1475,,No,Yes
Contract,40,201930,70987,WO190070987,,2,3/20/19,25000,15600,15600,0,9400,3/20/19,6/30/19,6/26/19,Default Buyer,212-857-1475,3 BIDS-SERVICES,No,Yes
Purchase Order,40,201930,70083,,,9,3/19/19,0,5520,5520,0,0,3/19/19,6/30/19,6/19/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,70958,,,26,3/19/19,0,2600,2600,0,0,3/19/19,6/30/19,7/3/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,71659,,,10,3/19/19,0,2950,2950,0,0,3/19/19,6/30/19,4/19/19,Default Buyer,212-857-1475,,No,Yes
Contract,40,201930,69176,WO190069176,,20,3/18/19,25000,19165,19165,0,5835,3/18/19,6/30/19,7/3/19,Default Buyer,212-857-1475,"3 BIDS-SERVICES-MAR 5,2019",No,Yes
